,study,Citation,n_1,n_2,mean_age_1,mean_age_2,domain,Miyake,stask,Task Description,DV,Log transformed?,g,var.g,se.g
975,"McLaughlin, 2010","McLaughlin, P. M., Szostak, C., Binns, M. A., Craik, F. I., Tipper, S. P., & Stuss, D. T. (2010). The effects of age and task demands on visual selective attention. Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale, 64(3), 197.",22,38,33.1,75,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Number of correctly recalled digits,no,-0.649055742,0.117978544,0.343480049
976,,,,,,,inhibition,no,Selective Attention Span Task,Participants were instructed to move a joystick in the direction of a stimuli based on the type and meaning of the stimuli provided.,RT in milliseconds on interference trials,no,1.552056881,63.5042773,7.968957103
977,"Mayr, 2001A","Mayr, U. (2001). Age differences in the selection of mental sets: the role of inhibition, stimulus ambiguity, and response-set overlap. Psychology and aging, 16(1), 96.",24,24,20.1,71,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.533229491,0.658139613,0.811258043
978,,,,,,,shifting,no,Task Switching Task,"Participants were instructed to accuratley respond to shape or color stimuli, using different instructions for each stimulus type, by button press.",RT in milliseconds for task repetitions,no,2.830875318,288.6371271,16.98932392
979,"Mayr, 2001B","Mayr, U. (2001). Age differences in the selection of mental sets: the role of inhibition, stimulus ambiguity, and response-set overlap. Psychology and aging, 16(1), 96.",36,36,20.1,70.9,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.703288595,0.549720713,0.741431529
980,,,,,,,shifting,no,Task Switching Task,"Participants were instructed to accuratley respond to shape or color stimuli, using different instructions for each stimulus type, by button press.",RT in milliseconds for task repetitions,no,2.086458919,42.15159749,6.492426163
981,"Maury, 2010A","Maury, P., Besse, F., & Martin, S. (2010). Age differences in outdated information processing during news reports reading. Experimental aging research, 36(4), 371-392.",25,25,21.8,69.7,updating,no,Updating Task,Participants were asked to read news reports while intentionally remembering details for a later quiz.,RT ratio (RT per character),no,1.908574722,3.359764444,1.832966024
982,"Maury, 2010B","Maury, P., Besse, F., & Martin, S. (2010). Age differences in outdated information processing during news reports reading. Experimental aging research, 36(4), 371-392.",36,36,26.2,70.7,updating,no,Verbal Fluency,Participants produced as many exemplars of a category as possible in two minutes.,Number of exemplars produced,no,-0.239949848,0.234850148,0.484613401
983,,,,,,,updating,no,Running Memory Span Task,Participants were read sets of letters and were instructed to remember the four most recent letters in order.,Number of correctly recalled letters,no,0.216545231,0.177033651,0.420753671
984,,,,,,,updating,no,Updating Task,Participants were asked to read news reports while intentionally remembering details for a later quiz.,RT ratio (RT per character),no,3.907793836,2.177384007,1.475596153
985,"Sweeney, 2001","Sweeney, J. A., Rosano, C., Berman, R. A., & Luna, B. (2001). Inhibitory control of attention declines more than working memory during normal aging. Neurobiology of aging, 22(1), 39-47.",28,20,24.3,72.7,inhibition,yes,Updating Task,Participants were instructed to attend in the opposite direction of a peripheral stimuli once a central target disappeared.,RT in milliseconds for targets displaced 16 degrees,no,1.15535252,129.2382561,11.36830049
986,,,,,,,processing speed,no,Saccade Task,Participants were instructed to make a prosaccade for a target stimulus,Number of correct responses,no,2.560306834,6.594123123,2.567902475
987,"Ludwig, 2010","Ludwig, C., Borella, E., Tettamanti, M., & De Ribaupierre, A. (2010). Adult age differences in the Color Stroop Test: A comparison between an Item-by-item and a Blocked version. Archives of gerontology and geriatrics, 51(2), 135-142.",39,75,23.28,70.95,updating,no,Reading Span Task,Participants read aloud a series of sentences and were asked whether each sentence was true or false and were told to recall the last word of each sentence of a series.,Number of correctly recalled words,no,0.911984242,0.039274288,0.198177417
988,,,,,,,shifting,yes,Stroop,Participants identified the color of the target stimulus as quickly as possible.,RT in seconds,no,1.783643824,10.43085685,3.229683708
989,,,,,,,updating,no,Reading Span Task,Participants read aloud a series of sentences and were asked whether each sentence was true or false and were told to recall the last word of each sentence of a series.,Number of correctly recalled words,no,1.14133957,0.039239887,0.198090602
990,,,,,,,shifting,yes,Stroop,Participants identified the color of the target stimulus as quickly as possible.,RT in milliseconds,no,1.273347777,104.3131711,10.21338196
991,"Zhang, 2010A","Zhang, X., Ersner-Hershfield, H., & Fung, H. H. (2010). Age differences in poignancy: Cognitive reappraisal as a moderator. Psychology and Aging, 25(2), 310.",60,60,20.18,72.85,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Number of correctly recalled digits,no,1.171250876,0.044167971,0.210161773
992,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in the backwards direction.,Number of correctly recalled digits,no,1.736839742,0.049877866,0.22333353
993,,,,,,,updating,no,Verbal Fluency,Participants produced as many exemplars of a category as possible in one minute,Number of exemplars produced,no,0.442819235,0.106116834,0.325755789
994,"Zhang, 2010B","Zhang, X., Ersner-Hershfield, H., & Fung, H. H. (2010). Age differences in poignancy: Cognitive reappraisal as a moderator. Psychology and Aging, 25(2), 310.",58,58,19.69,68.56,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Number of correctly recalled digits,no,1.681391968,0.04202159,0.204991683
995,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in the backwards direction.,Number of correctly recalled digits,no,2.070842533,0.044754162,0.211551796
996,,,,,,,updating,no,Verbal Fluency,Participants produced as many exemplars of a category as possible in one minute,Number of exemplars produced,no,-0.103859267,0.090224434,0.300373823
997,"Grant, 2000","Grant, J. D., & Dagenbach, D. (2000). Further considerations regarding inhibitory processes, working memory, and cognitive aging. The American journal of psychology, 113(1), 69.",35,30,18.6,76.8,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Number of correctly recalled digits,no,1.697021084,0.072420892,0.269111301
998,,,,,,,inhibition,no,Negative Priming task,Participants were asked to name the letter written in the target color out loud.,RT in milliseconds,no,1.204521084,37.43159349,6.118136439
999,"Keys, 2000","Keys, B. A., & White, D. A. (2000). Exploring the relationship between age, executive abilities, and psychomotor speed. Journal of the International Neuropsychological Society, 6(1), 76-82.",46,40,19.61,72.15,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in one minute.,Number of words produced,no,0.118401856,0.103674758,0.321985648
1000,,,,,,,updating,no,Verbal Fluency,Participants produced as many exemplars of a category as possible in one minute,Number of exemplars produced,no,1.100858308,0.155664657,0.394543606
1001,,,,,,,updating,no,Design Fluency,Participants were instructed to produce as many unique designs as possible in one minute.,Number of designs produced,no,0.94946079,0.134800117,0.367151354
1002,,,,,,,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,1.344094962,0.57541203,0.75855918
1003,,,,,,,shifting,no,Trail Making Test,"Participants complete  complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT in seconds,no,1.53152693,2.79376689,1.671456518
1004,,,,,,,inhibition,no,Inhibition Task,"Participants were instructed to press a corresponding button when a stimli was present on screen, in reverse order.",RT in milliseconds,no,2.099263753,72.1099392,8.491757132
1005,,,,,,,inhibition,no,Inhibition Task,"Participants were instructed to press a corresponding button when a stimli was present on screen, in reverse order.",RT in milliseconds,no,-0.758269252,20.03618024,4.476179201
1006,,,,,,,processing speed,no,Line Drawing task,Participants had to complete as many boxes as possible by filling in the missing side,Number of completed boxes,no,0.770865089,1.650787688,1.284829829
1007,,,,,,,processing speed,no,Processing Speed Task,Participants were asked press a button in response to a filled in circle,Number of correct responses,no,1.127548469,100.5364885,10.02678854
1008,,,,,,,processing speed,no,Processing Speed Task,Participants were asked press a button in response to a filled in circle,Number of correct responses,no,-0.200197946,17.63067408,4.198889624
1009,"Mayr, 2000","Mayr, U., & Kliegl, R. (2000). Complex semantic processing in old age: Does it stay or does it go?. Psychology and aging, 15(1), 29.",24,24,23.6,69,updating,no,Verbal Fluency,"Participants produced as many exemplars of a category as possible, in some instances switching between categories.",Within-category perseverations on switching trials,no,1.163742035,0.11546896,0.339807239
1010,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.977817805,0.942942085,0.971052051
1011,"Little, 2000","Little, D. M., & Hartley, A. A. (2000). Further evidence that negative priming in the Stroop color–word task is equivalent in older and younger adults. Psychology and aging, 15(1), 9.",26,26,18.4,74.2,shifting,no,Stroop,Participants named the color of the target stimulus as quickly as possible.,RT in milliseconds (Interference),no,0.443712762,41.43812413,6.437245073
1012,"May, 1999A","May, C. P., Hasher, L., & Kane, M. J. (1999). The role of interference in memory span. Memory & cognition, 27(5), 759-767.",65,40,19,67.4,updating,no,Reading Span Task,Participants read a series of sentences and were asked whether each sentence was true or false and were told to recall the last word of each sentence of a series.,Number of correctly recalled words,no,0.815994973,0.041533488,0.203797664
1013,"May, 1999B","May, C. P., Hasher, L., & Kane, M. J. (1999). The role of interference in memory span. Memory & cognition, 27(5), 759-767.",60,50,20.3,69.6,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Number of correctly recalled digits,no,0.407144498,0.096154886,0.310088513
1014,"Alain, 1999","Alain, C., & Woods, D. L. (1999). Age-related changes in processing auditory stimuli during visual attention: evidence for deficits in inhibitory control and sensory memory. Psychology and aging, 14(3), 507.",12,14,23.2,65.7,processing speed,no,Visual Discrimination Task,Participants were asked press a button in response to a target,RT in milliseconds,no,-0.168403368,21.61625197,4.64932812
1015,"Sommers, 1999","Sommers, M. S., & Danielson, S. M. (1999). Inhibitory processes and spoken word recognition in young and older adults: The interaction of lexical competition and semantic context. Psychology and aging, 14(3), 458.",21,21,20,75.5,inhibition,yes,Stroop,Participants were instructed to respond as quickly as possible to decide whether a word was spoken by a man or a woman,RT in milliseconds for incongruent trials,no,1.635386553,409.3625842,20.23271075
1016,,,,,,,inhibition,no,RT Task,Participants were instructed to respond as quickly as possible to two different stimuli in two different trial types,RT in milliseconds for orthogonal phoneme trials,no,1.94790657,284.0106467,16.85261543
1017,"Kramer, 1999","Kramer, A. F., Hahn, S., Irwin, D. E., & Theeuwes, J. (1999). Attentional capture and aging: Implications for visual search performance and oculomotor control. Psychology and aging, 14(1), 135.",8,8,23.8,69.5,inhibition,yes,Saccade Task,"Participants were instracted to saccade towards peripheral stimuli once they detected a color change and tertermine whether a ""c"" was written forwards or backwards.",RT in milliseconds for control conditions,no,2.420059489,1053.33249,32.45508419
1018,"Hess, 1999","Hess, T. M., Bolstad, C. A., Woodburn, S. M., & Auman, C. (1999). Trait diagnosticity versus behavioral consistency as determinants of impression change in adulthood. Psychology and aging, 14(1), 77.",47,46,19.7,68.9,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.872157372,0.589308901,0.767664576
1019,,,,,,,updating,no,Listening Span Task,Participants listen to a series of sentences and were asked whether each sentence was true or false and were told to recall the last word of each sentence of a series.,Number of correctly recalled words,no,1.526387785,0.048758833,0.220814023
1020,"Williams, 1999","Williams, B. R., Ponesse, J. S., Schachar, R. J., Logan, G. D., & Tannock, R. (1999). Development of inhibitory control across the life span. Developmental psychology, 35(1), 205.",47,25,18-29,60-81,inhibition,no,Stop-Signal Task,Participants were instructed to press corresponding key to visual stimuli as quickly as possible and to inhibit response when they heard an auditory tone.,RT in milliseconds,no,0.298469665,34.56905912,5.879545826
1021,"Maylor, 1998","Maylor, E. A., & Lavie, N. (1998). The influence of perceptual load on age differences in selective attention. Psychology and aging, 13(4), 563.",16,16,22.7,73,processing speed,no,RT Task,Participants were asked press a button in response to a target,RT in milliseconds,no,2.916446837,152.3982152,12.3449672
1022,"Langley, 1998","Langley, L. K., Overmier, J. B., Knopman, D. S., & Prod'Homme, M. M. (1998). Inhibition and habituation: Preserved mechanisms of attentional selection in aging and Alzheimer's disease. Neuropsychology, 12(3), 353.",22,20,23.8,71.7,inhibition,no,Inhibition Task,Participants were instructed to responded to a target stimulus while ignoring distractors in several conditions,RT in milliseconds for random ignored priming trials,no,1.234335063,0.128867699,0.358981475
1023,"West, 1998","West, R., & Baylis, G. C. (1998). Effects of increased response dominance and contextual disintegration on the Stroop interference effect in older adults. Psychology and aging, 13(2), 206.",40,40,22.55,69.53,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT in seconds,no,1.781622309,0.18705266,0.43249585
1024,"Schooler, 1997","Schooler, C., Neumann, E., Caplan, L. J., & Roberts, B. R. (1997). Continued inhibitory capacity throughout adulthood: Conceptual negative priming in younger and older adults. Psychology and Aging, 12(4), 667.",20,16,20-35,65-77,inhibition,no,Negative Priming task,Participants were instructed to categorize a word after exposure to an image,RT in milliseconds,no,1.146777427,197.5051962,14.05365419
1025,"Hasher, 1997","Hasher, L., Quig, M. B., & May, C. P. (1997). Inhibitory control over no-longer-relevant information: Adult age differences. Memory & cognition, 25(3), 286-295.",24,24,18.3,69.1,inhibition,no,Inhibition Task,"Participants were instructed to remember the last word of  sentence for a later, unspecified, memory test",Percent correct for target trials,no,0.354455093,1.261001747,1.122943341
1026,"Duchek, 2009","Duchek, J. M., Balota, D. A., Tse, C. S., Holtzman, D. M., Fagan, A. M., & Goate, A. M. (2009). The utility of intraindividual variability in selective attention tasks as an early marker for Alzheimer’s disease. Neuropsychology, 23(6), 746.",35,220,20.29,71.75,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT in milliseconds for incongruent trials,no,1.032861046,91.76578651,9.579446044
1027,,,,,,,inhibition,yes,Simon Task,Participants responded to direction of an arrow presented at various locations on the screen.,RT in milliseconds for incongruent trials,no,1.707109638,37.29520218,6.106979792
1028,,,,,,,shifting,yes,Task Switching Task,Participants were instructed to respond as quickly and accuratley as possible to two different tasks on varying trials,RT in milliseconds for mixed switching trials,no,1.383229906,1301.861476,36.08131754
1029,"Kieley, 1997","Kieley, J. M., & Hartley, A. A. (1997). Age-related equivalence of identity suppression in the Stroop color-word task. Psychology and Aging, 12(1), 22.",44,41,20.4,73.3,inhibition,yes,Stroop,Participants named the color of the target stimulus as quickly as possible.,RT in milliseconds for incongruent trials,no,0.882688499,69.96148165,8.364298037
1030,"Morrow, 1997","Morrow, D. G., Stine-Morrow, E. A., Leirer, V. O., Andrassy, J. M., & Kahn, J. (1997). The role of reader age and focus of attention in creating situation models from narratives. The Journals of Gerontology Series B: Psychological Sciences and Social Sciences, 52(2), P73-P80.",40,40,25.4,68.1,processing speed,no,Block Design Task,Participants replicated patterns using blocks,number of correct patterns,no,0.671435612,0.356306412,0.596914074
1031,,,,,,,updating,no,Sentence Span,Participants listen to or read a series of sentences and were asked whether each sentence was true or false and were told to recall the last word of each sentence of a series.,Mean span score of the reading and listening span task,no,0.659488503,0.055813675,0.236249181
1032,"Spieler, 1996","Spieler, D. H., Balota, D. A., & Faust, M. E. (1996). Stroop performance in healthy younger and older adults and in individuals with dementia of the Alzheimer's type. Journal of Experimental Psychology: Human perception and performance, 22(2), 461.",27,25,20.4,85.6,inhibition,yes,Stroop,Participants named the color of the target stimulus as quickly as possible.,RT in milliseconds for neutral trials,no,1.962247685,53.65746769,7.32512578
1033,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus as quickly as possible.,RT in milliseconds for neutral trials,no,2.200703108,402.3206891,20.05793332
1034,"Wood, 2009","Wood, G., Ischebeck, A., Koppelstaetter, F., Gotwald, T., & Kaufmann, L. (2009). Developmental trajectories of magnitude processing and interference control: An fMRI study. Cerebral Cortex, 19(11), 2755-2765.",11,13,29.5,68.1,inhibition,yes,Stroop,Participants were instructed to make numerical and physical magnitude judgements on relevant stimuli and ignore irrelevant stimuli.,RT in milliseconds on pysically incongruent trials,no,1.117325831,154.0121844,12.41016456
1035,"McDowd, 1995","McDowd, J. M., & Filion, D. L. (1995). Aging and negative priming in a location suppression task: The long and the short of it. Psychology and Aging, 10(1), 34.",22,22,20,69.9,inhibition,no,Negative Priming task,Participants were instructed to respond to a target stimuli and ignore distractor stimuli under varying paces,RT in milliseconds on force paced negative priming trials,no,2.648349689,61.17412886,7.82138919
1036,"Kramer, 1994","Kramer, A. F., Humphrey, D. G., Larish, J. F., & Logan, G. D. (1994). Aging and inhibition: beyond a unitary view of inhibitory processing in attention. Psychology and aging, 9(4), 491.",32,30,20.6,67.8,inhibition,no,Negative Priming task,Participants were instructed to repond to a cued target in a display of four letters,"RT in milliseconds on 0 SOA,  incompatible trials",no,2.090397356,50.1759762,7.083500279
1037,,,,,,,inhibition,no,Response Compatibility,Participants responded to letters via button response depending on the letter shown.,RT in milliseconds for incompatible trials,no,1.332703555,51.35154408,7.165999168
1038,,,,,,,inhibition,no,Response Compatibility,Participants responded to letters via button response depending on the letter shown.,Percent Error for compatible trials,no,-0.289924627,9.184435323,3.030583331
1039,,,,,,,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Number of categories achieved,no,1.096099384,0.081415218,0.285333521
1040,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Number of correctly recalled digits,no,0.313863832,0.101109322,0.317976921
1041,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Number of correctly recalled digits,no,0.07419492,0.118683865,0.344505247
1042,"Kane, 1994","Kane, M. J., Hasher, L., Stoltzfus, E. R., Zacks, R. T., & Connelly, S. L. (1994). Inhibitory attentional mechanisms and aging. Psychology and aging, 9(1), 103.",40,37,18.9,69.5,inhibition,no,Dual Task,"Participants were instructed to respond as quickly as possible to one word, in a two word pair set, while ignorning the other word.",RT in milliseconds for supression trials,no,1.589514908,36.1922158,6.015996659
1043,"Sullivan, 1993","Sullivan, M. P., & Faust, M. E. (1993). Evidence for identity inhibition during selective attention in old adults.Psychology and Aging, 8(4), 589.",20,16,23.6,67.1,inhibition,no,Priming Task,Participants were shown a red and green picture and told to identify the red picture as quickly and accuralty as possible and ignore the green picture.,RT in milliseconds on control trials,no,0.256531422,111.2217394,10.54617179
1044,"Male, 2009","Male, S. J., Sheppard, D. M., & Bradshaw, J. L. (2009). Aging extends the time required to switch cognitive set. Aging, Neuropsychology, and Cognition, 16(5), 589-606.",12,13,21.33,71.62,shifting,no,Attentional Blink Task,Participats were instructed to report the color of stimuli in correct trial order,Percent Correct in condition 2 position 1,no,1.90292151,0.150245611,0.387615288
1045,"Trewartha, 2009","Trewartha, K. M., Endo, A., Li, K. Z., & Penhune, V. B. (2009). Examining prepotent response suppression in aging: A kinematic analysis. Psychology and aging, 24(2), 450.",12,12,23.83,66.75,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.677148403,4.130110328,2.032267288
1046,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT in seconds (Trails B-Trails A),no,0.503664918,10.50127512,3.240567098
1047,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT in seconds (Incongruent-Congruent),no,1.074765743,0.156129197,0.395131873
1048,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.645630505,5.45311542,2.33519066
1049,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT in seconds (Trails B-Trails A),no,1.410346834,3.496844311,1.86998511
1050,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT in seconds (Incongruent-Congruent),no,0.722956892,0.158283789,0.397848953
1051,,,,,,,inhibition,no,Sequencing Task,Participants were told to indicate which block on a screen changed color in varying repeated patterns,Percent correct for critical transitions on 5 repetition trials in Experiment 1,no,0.810958011,0.868333705,0.931844249
1052,"Robert, 2009A","Robert, C., Borella, E., Fagot, D., Lecerf, T., & De Ribaupierre, A. (2009). Working memory and inhibitory control across the life span: Intrusion errors in the Reading Span Test. Memory & cognition, 37(3), 336-345.",74,74,21.3,75.38,updating,no,Reading Span Task,Participants read aloud a series of sentences and were asked whether each sentence was true or false and were told to recall the last word of each sentence of a series.,Number of correctly recalled words,no,1.712784254,0.372224745,0.610102241
1053,"Robert, 2009B","Robert, C., Borella, E., Fagot, D., Lecerf, T., & De Ribaupierre, A. (2009). Working memory and inhibitory control across the life span: Intrusion errors in the Reading Span Test. Memory & cognition, 37(3), 336-345.",34,34,21.12,68.97,updating,no,Reading Span Task,Participants read aloud a series of sentences and were asked whether each sentence was true or false and were told to recall the last word of each sentence of a series.,Reading Span Score,no,0.888461814,0.061603273,0.248200066
1054,"Kamijo, 2009","Kamijo, K., Hayashi, Y., Sakai, T., Yahiro, T., Tanaka, K., & Nishihira, Y. (2009). Acute effects of aerobic exercise on cognitive function in older adults. Journals of Gerontology: Series B, 64(3), 356-363.",12,12,21.8,65.5,inhibition,no,Flanker Task,Participants responded to direction of central arrow by pressing the key that corresponded to the direction.,RT in milliseconds on incongruent trials in the baseline condition,no,4.857938274,4.633345224,2.152520667
1055,"Campbell, 2009","Campbell, K. L., Al-Aidroos, N., Pratt, J., & Hasher, L. (2009). Repelling the young and attracting the old: Examining age-related differences in saccade trajectory deviations. Psychology and aging, 24(1), 163.",8,8,20.13,68.5,inhibition,yes,Anti-saccade Task,Participants were instructed to look in the opposite direction of the target.,RT in millisecond on 200 SOA trails,no,1.336902696,29.6093009,5.441442906
1056,"Collette, 2009","Collette, F., Germain, S., Hogge, M., & Van der Linden, M. (2009). Inhibitory control of memory in normal ageing: Dissociation between impaired intentional and preserved unintentional processes. Memory, 17(1), 104-122.",40,40,24.15,67,inhibition,no,Directed Forgetting Task,Participants were shown triagrams of letters and asked to recall the letters at a later test.,Percent correct for responses on inhibition trials,no,0.578211421,2.908593149,1.705459806
1057,,,,,,,inhibition,no,Directed Forgetting task,Participants were shown and instructed to remember or forget a list of words.,Percent correct (To be remembered-To be Forgotten),no,0.861671457,1.286111672,1.134068636
1058,,,,,,,inhibition,no,Hayling Task,"Participants were presented with sentences with the last word missing. In Part A, participants completed the sentence with an expected word, whereas in Part B participants were instructed to complete the sentence with a grammatically correct word that did not fit the sentence meaning.",RT in seconds ((A-B)/(B+A)),no,0.482153295,0.050291769,0.224258264
1059,,,,,,,updating,no,Probe Task,"Participants were instructed to determine whether a stimlus should be included in a category, in addition to rememebering a set of consonants.",RT in milliseconds for nonrecent negative trials,no,1.127317507,216.7078587,14.7210006
1060,,,,,,,inhibition,no,Retrieval Induced Forgetting Task,"Participants were shown and asked to categorize pictures, some of which were used in a later recall test.",RT in milliseconds for practiced categories,no,0.480099144,2.087414603,1.444788775
1061,,,,,,,inhibition,no,Flanker Task,Participants responded to a centrally located word by categorizing it.,RT in milliseconds for the interference effect,no,1.210863031,37.84050723,6.151463828
1062,"Dumas, 2008A","Dumas, J. A., & Hartman, M. (2008). Adult age differences in the access and deletion functions of inhibition. Aging, Neuropsychology, and Cognition,15(3), 330-357.",36,36,19.3,74.1,inhibition,no,Inhibition Task,"Participants were instructed to indicate which word was shown to them in a previous learning phase, after a distractor task.",Percent correct for number of words recalled in distraction processing trials,no,-0.094107392,0.054442331,0.233328803
1063,"Dumas, 2008B","Dumas, J. A., & Hartman, M. (2008). Adult age differences in the access and deletion functions of inhibition. Aging, Neuropsychology, and Cognition,15(3), 330-357.",36,36,18.8,72.4,inhibition,no,Inhibition Task,"Participants were instructed to indicate which word was shown to them in a previous learning phase, after a distractor task.",Percent correct for number of words recalled in redundant distraction trials,no,-0.282642089,0.054500436,0.233453283
1064,"Troche, 2008","Troche, S. J., Gibbons, H., & Rammsayer, T. H. (2008). Identity and location priming effects and their temporal stability in young and older adults. Aging, Neuropsychology, and Cognition, 15(3), 281-301.",37,37,21.5,69.4,inhibition,no,Priming Task,Participants were presented with target and probe digit and asked to repond as quickly and accuratley as possible to the centerally presented digit.,RT in milliseconds to ignore repeat trials for identity priming,no,2.381638848,132.4901817,11.51043795
1065,,,,,,,inhibition,no,Priming Task,Participants were presented with target and probe stimuli and asked to repond as quickly and accuratley as possible to the location of the target stimuli.,RT in milliseconds to ignore repeat trials for location priming,no,1.507212487,168.598305,12.984541
1066,"Germain, 2008","Germain, S., & Collette, F. (2008). Dissociation of perceptual and motor inhibitory processes in young and elderly participants using the Simon task. Journal of the International Neuropsychological Society, 14(6), 1014-1021.",40,35,24.15,66.69,inhibition,no,Simon Task,Participants responded to direction of an arrow presented at various locations on the screen.,RT in milliseconds for neutral conditions,no,1.965537194,40.34211376,6.351544203
1067,"Kray, 2009","Kray, J., Kipp, K. H., & Karbach, J. (2009). The development of selective inhibitory control: The influence of verbal labeling. Acta Psychologica, 130(1), 48-57.",36,36,23,68.6,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.047733923,0.626922188,0.79178418
1068,,,,,,,inhibition,no,Stop-Signal Task,"Participants were instructed to categorize pictures into one of two categpries, unless the image was surrounded by a grey frame in which participants were not to make any response.",RT in milliseconds for stop signal trials,no,0.457788669,19.88821444,4.459620436
1069,"Madden, 2009","Madden, D. J., Spaniol, J., Costello, M. C., Bucur, B., White, L. E., Cabeza, R., ... & Huettel, S. A. (2008). Cerebral white matter integrity mediates adult age differences in cognitive performance. Journal of cognitive neuroscience, 21(2), 289-302.",20,20,22.4,69.6,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.719274472,967.1895124,31.09967062
1070,,,,,,,shifting,no,Task Switching Task,"Participants were instructed to indicate which category a target word fell into, under various cue conditions.",Percent correct for switch trials,no,1.234575562,163.7120196,12.79499979
1071,"De Neys, 2009","De Neys, W., & Van Gelder, E. (2009). Logic and belief across the lifespan: the rise and fall of belief inhibition during syllogistic reasoning. Developmental Science,12(1), 123-130.",28,25,19.04,66.46,inhibition,no,Deductive Reasonsing Task,Participants need to determine whether a conclusion is accurate based on two provided parameters.,Percent correct,no,-0.13888841,2.740899431,1.655566196
1072,"West, 2008","West, R., & Travers, S. (2008). Differential effects of aging on processes underlying task switching. Brain and Cognition, 68(1), 67-80.",12,12,20.75,70.58,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.901809158,1.703126774,1.305038993
1073,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.296841196,0.244873761,0.49484721
1074,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in one minute.,Number of correct responses,no,-0.009812095,1.358896433,1.165717132
1075,,,,,,,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Number of perseverative errors,no,1.015242851,2.185276675,1.478268134
